AgentName,Role,Episode,StepCount,Reward,AttackAttempts,AttackSuccesses,DefendAttempts,DefendSuccesses,DodgeAttempts,EndTime,Duration,IsDead
Player 1,Defender,1330,597,149.76,26,0,72,0,56,79.72,11.94,False
Player 1,Defender,1334,224,50.47,6,0,21,0,13,79.84,4.48,False
Player 1,Defender,1338,287,65.27,9,0,22,0,34,80.08,5.74,False
Player 1,Defender,1342,191,32.92,13,0,18,0,88,80.58,3.82,False
Player 1,Defender,1346,278,68.55,10,0,30,0,12,80.62,5.56,False
Player 1,Defender,1350,432,110.32,13,0,38,0,21,80.62,8.64,False
Player 1,Defender,1354,280,70.08,8,0,20,0,18,80.68,5.60,False
Player 1,Defender,1358,748,175.59,46,0,90,0,90,80.92,14.96,False
Player 1,Defender,1362,428,95.61,23,0,44,0,81,81.12,8.56,False
Player 1,Defender,1366,558,131.32,39,0,52,0,18,81.12,11.16,False
Player 1,Defender,1370,520,127.59,17,0,67,0,109,81.20,10.40,False
Player 1,Defender,1374,128,27.05,2,0,9,0,49,81.28,2.56,False
Player 1,Defender,1378,215,40.55,12,0,19,0,35,81.36,4.30,False
Player 1,Defender,1382,155,32.89,7,0,15,0,66,81.40,3.10,False
Player 1,Defender,1386,637,158.63,53,1,63,0,34,81.98,12.74,False
Player 1,Defender,1390,565,132.83,26,0,65,0,98,82.78,11.30,False
Player 1,Defender,1394,110,20.23,4,0,16,0,4,82.88,2.20,False
Player 1,Defender,1400,0,0.50,0,0,0,0,0,83.10,0.00,False
Player 1,Defender,1402,751,197.82,36,0,67,0,56,83.22,15.02,False
Player 1,Defender,1406,291,68.51,10,0,25,0,83,83.32,5.82,False
Player 1,Defender,1410,376,87.16,14,0,40,0,113,83.60,7.52,False
Player 1,Defender,1414,446,112.70,20,0,38,0,26,84.00,8.92,False
Player 1,Defender,1418,325,71.75,10,0,37,0,71,84.02,6.50,False
Player 1,Defender,1422,462,107.22,19,0,46,0,23,84.26,9.24,False
Player 1,Defender,1428,0,0.50,0,0,0,0,0,84.34,0.00,False
Player 1,Defender,1430,192,41.48,6,0,29,0,80,84.46,3.84,False
Player 1,Defender,1434,424,99.84,25,0,49,0,116,84.50,8.48,False
Player 1,Defender,1438,278,67.16,5,0,28,0,18,85.64,5.56,False
Player 1,Defender,1442,306,73.90,8,0,31,0,29,85.82,6.12,False
Player 1,Defender,1446,263,61.50,10,0,20,0,124,85.84,5.26,False
Player 1,Defender,1450,229,51.73,4,0,17,0,113,85.86,4.58,False
